url;nama;ratings;reviewers;kategori;alamat;jam-tutup
https://www.google.com/maps/place/Sate+Sumsum+Pak+OO/data=!4m7!3m6!1s0x2e69c5e9d3fe90bf:0xdc3eadbff2fde32e!8m2!3d-6.6080618!4d106.8025234!16s%2Fg%2F11cn5qy1n0!19sChIJv5D-0-nFaS4RLuP98r-tPtw?authuser=0&hl=id&rclk=1;Sate Sumsum Pak OO;4,3;(225);Sate;Jl. Suryakencana No.193;⋅ Tutup pukul 20.00
https://www.google.com/maps/place/Hanamasa/data=!4m7!3m6!1s0x2e69c23c5555555d:0xfc382f7e18a33c00!8m2!3d-6.5962384!4d106.8047949!16s%2Fg%2F1td7qm2s!19sChIJXVVVVTzCaS4RADyjGH4vOPw?authuser=0&hl=id&rclk=1;Hanamasa;4,6;(1.946);Jepang;Jl. Raya Pajajaran No.25, RT.03/RW.08;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Bebek+Kaleyo+Bogor/data=!4m7!3m6!1s0x2e69c55c40b3a423:0x2af0ce4930792b70!8m2!3d-6.6036708!4d106.809813!16s%2Fg%2F11spcsk86c!19sChIJI6SzQFzFaS4RcCt5MEnO8Co?authuser=0&hl=id&rclk=1;Bebek Kaleyo Bogor;4,7;(804);Restoran;Jl. Bina Marga No.I No.8;⋅ Tutup pukul 23.00
https://www.google.com/maps/place/Warung+kebun+kota+stasiun+bogor/data=!4m7!3m6!1s0x2e69c52c8b192a87:0x4b4f467666030fc4!8m2!3d-6.5950894!4d106.7902506!16s%2Fg%2F11gyd8y7y1!19sChIJhyoZiyzFaS4RxA8DZnZGT0s?authuser=0&hl=id&rclk=1;Warung kebun kota stasiun bogor;4,4;(177);Restoran;CQ3R+X46, RT.04/RW.06;⋅ Tutup pukul 22.00
https://www.google.com/maps/place/Rumah+Makan+Askil/data=!4m7!3m6!1s0x2e69c4b02b1b4c7d:0x3439497e6b95198!8m2!3d-6.5587332!4d106.7324032!16s%2Fg%2F11c5g68j4m!19sChIJfUwbK7DEaS4RmFG55peUQwM?authuser=0&hl=id&rclk=1;Rumah Makan Askil;3,9;(15);Padang;Jl. Babakan Tengah No.17, RT.01/RW.09;⋅ Tutup pukul 23.00
https://www.google.com/maps/place/Daiji+Raamen/data=!4m7!3m6!1s0x2e69c60882b26225:0x93f58312dbfde943!8m2!3d-6.6116695!4d106.8144501!16s%2Fg%2F1pzyg4wnj!19sChIJJWKyggjGaS4RQ-n92xKD9ZM?authuser=0&hl=id&rclk=1;Daiji Raamen;4,8;(3.487);Ramen;Jl. Pajajaran Indah No.7, RT.01/RW.111;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/Rumah+Makan+Manjabal/data=!4m7!3m6!1s0x2e69c42a06e7062d:0x92eb71b6cf76a945!8m2!3d-6.6090639!4d106.8196593!16s%2Fg%2F11cltqp1_v!19sChIJLQbnBirEaS4RRal2z7Zx65I?authuser=0&hl=id&rclk=1;Rumah Makan Manjabal;4,3;(1.549);Sunda;Jalan Achmad Sobana No. 145, Bangbarung Ujung Bantar Jati, RT.02/RW.14;⋅ Tutup pukul 21.00
https://www.google.com/maps/place/lesehan+cak+lontong+%28sambel+demit%29/data=!4m7!3m6!1s0x2e69c572777ba047:0xa2b9d82fda993d83!8m2!3d-6.5587088!4d106.7327351!16s%2Fg%2F11hz_vcp77!19sChIJR6B7d3LFaS4Rgz2Z2i_YuaI?authuser=0&hl=id&rclk=1;lesehan cak lontong (sambel demit);4,8;(46);Restoran;Jl. Babakan Tengah No.19, RT.01/RW.09;⋅ Tutup pukul 01.00
https://www.google.com/maps/place/Rumah+Makan+Askil/data=!4m7!3m6!1s0x2e69c4b02b1b4c7d:0x3439497e6b95198!8m2!3d-6.5587332!4d106.7324032!16s%2Fg%2F11c5g68j4m!19sChIJfUwbK7DEaS4RmFG55peUQwM?authuser=0&hl=id&rclk=1;Rumah Makan Askil;3,9;(15);Padang;Jl. Babakan Tengah No.17, RT.01/RW.09;⋅ Tutup pukul 23.00
https://www.google.com/maps/place/lesehan+cak+lontong+%28sambel+demit%29/data=!4m7!3m6!1s0x2e69c572777ba047:0xa2b9d82fda993d83!8m2!3d-6.5587088!4d106.7327351!16s%2Fg%2F11hz_vcp77!19sChIJR6B7d3LFaS4Rgz2Z2i_YuaI?authuser=0&hl=id&rclk=1;lesehan cak lontong (sambel demit);4,8;(46);Restoran;Jl. Babakan Tengah No.19, RT.01/RW.09;⋅ Tutup pukul 01.00
